user_level,next_level_exp_sum,max_stamina,reward_set_id
155,372387500,45,30000300
156,379641600,45,30000300
157,386989300,45,30000300
158,394431200,45,30000300
159,401967900,45,30000300
160,409600000,45,30000300
161,417328100,45,30000300
162,425152800,45,30000300
163,433074700,45,30000300
164,441094400,45,30000300
165,449212500,45,30000300
166,457429600,45,30000300
167,465746300,45,30000300
168,474163200,45,30000300
169,482680900,45,30000300
170,491300000,45,30000300
171,500021100,45,30000300
172,508844800,45,30000300
173,517771700,45,30000300
174,526802400,45,30000300
175,535937500,45,30000300
176,545177600,45,30000300
177,554523300,45,30000300
178,563975200,45,30000300
179,573533900,45,30000300
180,583200000,45,30000300
181,592974100,45,30000300
182,602856800,45,30000300
183,612848700,45,30000300
184,622950400,45,30000300
185,633162500,45,30000300
186,643485600,45,30000300
187,653920300,45,30000300
188,664467200,45,30000300
189,675126900,45,30000300
190,685900000,45,30000300
191,696787100,45,30000300
192,707788800,45,30000300
193,718905700,45,30000300
194,730138400,45,30000300
195,741487500,45,30000300
196,752953600,45,30000300
197,764537300,45,30000300
198,776239200,45,30000300
199,788059900,45,30000300
200,800000000,45,30000300
201,812060100,45,30000300
202,824240800,45,30000300
203,836542700,45,30000300
204,848966400,45,30000300
205,861512500,45,30000300
206,874181600,45,30000300
207,886974300,45,30000300
208,899891200,45,30000300
209,912932900,45,30000300
210,926100000,45,30000300
211,939393100,45,30000300
212,952812800,45,30000300
213,966359700,45,30000300
214,980034400,45,30000300
215,993837500,45,30000300
216,1007769600,45,30000300
217,1021831300,45,30000300
218,1036023200,45,30000300
219,1050345900,45,30000300
220,1064800000,45,30000300
221,1079386100,45,30000300
222,1094104800,45,30000300
223,1108956700,45,30000300
224,1123942400,45,30000300
225,1139062500,45,30000300
226,1154317600,45,30000300
227,1169708300,45,30000300
228,1185235200,45,30000300
229,1200898900,45,30000300
230,1216700000,45,30000300
231,1232639100,45,30000300
232,1248716800,45,30000300
233,1264933700,45,30000300
234,1281290400,45,30000300
235,1297787500,45,30000300
236,1314425600,45,30000300
237,1331205300,45,30000300
238,1348127200,45,30000300
239,1365191900,45,30000300
240,1382400000,45,30000300
241,1399752100,45,30000300
242,1417248800,45,30000300
243,1434890700,45,30000300
244,1452678400,45,30000300
245,1470612500,45,30000300
246,1488693600,45,30000300
247,1506922300,45,30000300
248,1525299200,45,30000300
249,1543824900,45,30000300
250,1562500000,45,30000300
251,1581325100,45,30000300
252,1600300800,45,30000300
253,1619427700,45,30000300
254,1638706400,45,30000300
255,1658137500,45,30000300
256,1677721600,45,30000300
257,1697459300,45,30000300
258,1717351200,45,30000300
259,1737397900,45,30000300
260,1757600000,45,30000300
261,1777958100,45,30000300
262,1798472800,45,30000300
263,1819144700,45,30000300
264,1839974400,45,30000300
265,1860962500,45,30000300
266,1882109600,45,30000300
267,1903416300,45,30000300
268,1924883200,45,30000300
269,1946510900,45,30000300
270,1968300000,45,30000300
271,1990251100,45,30000300
272,2012364800,45,30000300
273,2034641700,45,30000300
274,2057082400,45,30000300
275,2079687500,45,30000300
276,2102457600,45,30000300
277,2125393300,45,30000300
278,2148495200,45,30000300
279,2171763900,45,30000300
280,2195200000,45,30000300
281,2218804100,45,30000300
282,2242576800,45,30000300
283,2266518700,45,30000300
284,2290630400,45,30000300
285,2314912500,45,30000300
286,2339365600,45,30000300
287,2363990300,45,30000300
288,2388787200,45,30000300
289,2413756900,45,30000300
290,2438900000,45,30000300
291,2464217100,45,30000300
292,2489708800,45,30000300
293,2515375700,45,30000300
294,2541218400,45,30000300
295,2567237500,45,30000300
296,2593433600,45,30000300
297,2619807300,45,30000300
298,2646359200,45,30000300
299,2673089900,45,30000300
300,0,45,30000300
