region,difficulty,floor,step,stageMin,stageMax,M_team,M_reward,M_skill,M_turn,E_team,E_reward,E_skill,E_turn,event_group,trader_id,camp_id,w_box,s_box,g_box,speStep,mob_prob,elite_prob,trader_prob,box_prob,camp_prob,event_prob,bg
3,1,0,10,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,0,100,0,graveyard
3,1,0,11,1,1,0,0,6000,0,50103131,0,10000,30,0,0,0,0,0,0,2,100,0,0,0,0,0,graveyard
4,1,0,1,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,100,0,0,goblin_village
4,1,0,2,3,5,50104111,31011100,6000,25,50104121,31011200,10000,30,1,1,1,11,12,13,1,100,0,0,0,0,0,goblin_village
4,1,0,3,3,5,50104112,31011100,6000,25,50104121,31011200,10000,30,1,1,1,11,12,13,0,85,0,0,5,0,10,goblin_village
4,1,0,4,3,5,50104113,31011100,6000,25,50104122,31011200,10000,30,1,1,1,11,12,13,0,45,10,45,0,0,0,goblin_village
4,1,0,5,3,5,50104111,31011100,6000,25,50104121,31011200,10000,30,1,1,1,11,12,13,0,80,0,0,0,10,10,goblin_village
4,1,0,6,3,5,50104112,31011100,6000,25,50104122,31011200,10000,30,1,1,1,11,12,13,0,15,75,0,10,0,0,goblin_village
4,1,0,7,3,5,50104113,31011100,6000,25,50104121,31011200,10000,30,1,1,1,11,12,13,0,90,0,0,0,10,0,goblin_village
4,1,0,8,3,5,50104111,31011100,6000,25,50104122,31011200,10000,30,1,1,1,11,12,13,1,0,0,100,0,0,0,goblin_village
4,1,0,9,3,5,50104112,31011100,6000,25,50104121,31011200,10000,30,1,1,1,11,12,13,0,15,75,0,0,10,0,goblin_village
4,1,0,10,3,5,50104113,31011100,6000,25,50104122,31011200,10000,30,1,1,1,11,12,13,0,40,0,55,5,0,0,goblin_village
4,1,0,11,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,0,100,0,goblin_village
4,1,0,12,1,1,0,0,6000,0,50104131,0,10000,30,0,0,0,0,0,0,2,100,0,0,0,0,0,goblin_village
5,1,0,1,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,100,0,0,marsh
5,1,0,2,3,5,50105111,31011100,6000,25,50105121,31011200,10000,30,1,1,1,11,12,13,1,100,0,0,0,0,0,marsh
5,1,0,3,3,5,50105112,31011100,6000,25,50105121,31011200,10000,30,1,1,1,11,12,13,0,100,0,0,0,0,0,marsh
5,1,0,4,3,5,50105113,31011100,6000,25,50105122,31011200,10000,30,1,1,1,11,12,13,0,50,10,30,0,0,10,marsh
5,1,0,5,3,5,50105111,31011100,6000,25,50105121,31011200,10000,30,1,1,1,11,12,13,0,60,0,0,20,20,0,marsh
5,1,0,6,3,5,50105112,31011100,6000,25,50105122,31011200,10000,30,1,1,1,11,12,13,0,90,0,0,0,0,10,marsh
5,1,0,7,3,5,50105113,31011100,6000,25,50105121,31011200,10000,30,1,1,1,11,12,13,0,20,70,0,10,0,0,marsh
5,1,0,8,3,5,50105111,31011100,6000,25,50105122,31011200,10000,30,1,1,1,11,12,13,1,0,0,100,0,0,0,marsh
5,1,0,9,3,5,50105112,31011100,6000,25,50105122,31011200,10000,30,1,1,1,11,12,13,0,20,70,0,10,0,0,marsh
5,1,0,10,3,5,50105113,31011100,6000,25,50105122,31011200,10000,30,1,1,1,11,12,13,0,90,0,0,0,0,10,marsh
5,1,0,11,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,0,100,0,marsh
5,1,0,12,1,1,0,0,6000,0,50105131,0,10000,30,0,0,0,0,0,0,2,100,0,0,0,0,0,marsh
6,1,0,1,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,100,0,0,dolmen
6,1,0,2,3,5,50106111,31011100,6000,25,50106121,31011200,10000,30,1,1,1,11,12,13,1,100,0,0,0,0,0,dolmen
6,1,0,3,3,5,50106112,31011100,6000,25,50106122,31011200,10000,30,1,1,1,11,12,13,0,95,0,0,0,0,5,dolmen
6,1,0,4,3,5,50106113,31011100,6000,25,50106122,31011200,10000,30,1,1,1,11,12,13,0,70,10,20,0,0,0,dolmen
6,1,0,5,3,5,50106111,31011100,6000,25,50106121,31011200,10000,30,1,1,1,11,12,13,0,80,0,0,20,0,0,dolmen
6,1,0,6,3,5,50106112,31011100,6000,25,50106122,31011200,10000,30,1,1,1,11,12,13,0,80,0,10,0,10,0,dolmen
6,1,0,7,3,5,50106113,31011100,6000,25,50106121,31011200,10000,30,1,1,1,11,12,13,0,30,70,0,0,0,0,dolmen
6,1,0,8,3,5,50106111,31011100,6000,25,50106122,31011200,10000,30,1,1,1,11,12,13,0,75,0,0,20,0,5,dolmen
6,1,0,9,3,5,50106112,31011100,6000,25,50106122,31011200,10000,30,1,1,1,11,12,13,0,20,70,0,0,10,0,dolmen
6,1,0,10,3,5,50106113,31011100,6000,25,50106122,31011200,10000,30,1,1,1,11,12,13,1,0,0,100,0,0,0,dolmen
6,1,0,11,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,0,100,0,dolmen
6,1,0,12,1,1,0,0,6000,0,50106131,0,10000,30,0,0,0,0,0,0,2,100,0,0,0,0,0,dolmen
7,1,0,1,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,100,0,0,valley
7,1,0,2,3,5,50107111,31011100,6000,25,50107121,31011200,10000,30,1,1,1,11,12,13,1,100,0,0,0,0,0,valley
7,1,0,3,3,5,50107112,31011100,6000,25,50107121,31011200,10000,30,1,1,1,11,12,13,0,65,20,0,5,0,10,valley
7,1,0,4,3,5,50107113,31011100,6000,25,50107121,31011200,10000,30,1,1,1,11,12,13,0,80,0,20,0,0,0,valley
7,1,0,5,3,5,50107111,31011100,6000,25,50107121,31011200,10000,30,1,1,1,11,12,13,0,10,70,0,10,10,0,valley
7,1,0,6,3,5,50107112,31011100,6000,25,50107122,31011200,10000,30,1,1,1,11,12,13,0,90,0,0,0,0,10,valley
7,1,0,7,3,5,50107113,31011100,6000,25,50107122,31011200,10000,30,1,1,1,11,12,13,0,70,0,0,0,30,0,valley
7,1,0,8,3,5,50107111,31011100,6000,25,50107122,31011200,10000,30,1,1,1,11,12,13,0,80,0,10,10,0,0,valley
7,1,0,9,3,5,50107112,31011100,6000,25,50107121,31011200,10000,30,1,1,1,11,12,13,0,90,0,0,0,10,0,valley
7,1,0,10,3,5,50107113,31011100,6000,25,50107122,31011200,10000,30,1,1,1,11,12,13,0,20,70,0,0,0,10,valley
7,1,0,11,3,5,50107111,31011100,6000,25,50107121,31011200,10000,30,1,1,1,11,12,13,1,0,0,100,0,0,0,valley
7,1,0,12,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,0,100,0,valley
7,1,0,13,1,1,0,0,6000,0,50107131,0,10000,30,0,0,0,0,0,0,2,100,0,0,0,0,0,valley
8,1,0,1,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,100,0,0,cave2
8,1,0,2,3,5,50108111,31011100,6000,25,50108121,31011200,10000,30,1,1,1,11,12,13,1,100,0,0,0,0,0,cave2
8,1,0,3,3,5,50108112,31011100,6000,25,50108121,31011200,10000,30,1,1,1,11,12,13,0,85,10,0,0,0,5,cave2
8,1,0,4,3,5,50108113,31011100,6000,25,50108121,31011200,10000,30,1,1,1,11,12,13,0,80,0,10,10,0,0,cave2
8,1,0,5,3,5,50108111,31011100,6000,25,50108121,31011200,10000,30,1,1,1,11,12,13,0,80,10,0,0,10,0,cave2
8,1,0,6,3,5,50108112,31011100,6000,25,50108122,31011200,10000,30,1,1,1,11,12,13,0,80,0,0,0,0,20,cave2
8,1,0,7,3,5,50108113,31011100,6000,25,50108121,31011200,10000,30,1,1,1,11,12,13,0,20,70,0,0,10,0,cave2
8,1,0,8,3,5,50108111,31011100,6000,25,50108122,31011200,10000,30,1,1,1,11,12,13,0,90,0,0,5,5,0,cave2
8,1,0,9,3,5,50108112,31011100,6000,25,50108121,31011200,10000,30,1,1,1,11,12,13,0,30,0,70,0,0,0,cave2
8,1,0,10,3,5,50108113,31011100,6000,25,50108122,31011200,10000,30,1,1,1,11,12,13,0,80,0,0,0,15,5,cave2
8,1,0,11,3,5,50108111,31011100,6000,25,50108122,31011200,10000,30,1,1,1,11,12,13,0,15,70,0,15,0,0,cave2
8,1,0,12,3,5,50108112,31011100,6000,25,50108122,31011200,10000,30,1,1,1,11,12,13,0,20,0,80,0,0,0,cave2
8,1,0,13,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,0,100,0,cave2
8,1,0,14,1,1,0,0,6000,0,50108131,0,10000,30,0,0,0,0,0,0,2,100,0,0,0,0,0,cave2
9,1,0,1,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,100,0,0,cave
9,1,0,2,3,5,50109111,31011100,6000,25,50109121,31011200,10000,30,1,1,1,11,12,13,1,100,0,0,0,0,0,cave
9,1,0,3,3,5,50109112,31011100,6000,25,50109122,31011200,10000,30,1,1,1,11,12,13,0,60,0,0,0,30,10,cave
9,1,0,4,3,5,50109113,31011100,6000,25,50109121,31011200,10000,30,1,1,1,11,12,13,0,90,10,0,0,0,0,cave
9,1,0,5,3,5,50109111,31011100,6000,25,50109121,31011200,10000,30,1,1,1,11,12,13,0,80,0,0,10,0,10,cave
9,1,0,6,3,5,50109112,31011100,6000,25,50109122,31011200,10000,30,1,1,1,11,12,13,0,70,0,30,0,0,0,cave
9,1,0,7,3,5,50109113,31011100,6000,25,50109121,31011200,10000,30,1,1,1,11,12,13,0,100,0,0,0,0,0,cave
9,1,0,8,3,5,50109111,31011100,6000,25,50109121,31011200,10000,30,1,1,1,11,12,13,0,20,70,0,0,10,0,cave
9,1,0,9,3,5,50109112,31011100,6000,25,50109121,31011200,10000,30,1,1,1,11,12,13,0,90,0,10,0,0,0,cave
9,1,0,10,3,5,50109113,31011100,6000,25,50109122,31011200,10000,30,1,1,1,11,12,13,0,80,0,0,10,0,10,cave
9,1,0,11,3,5,50109111,31011100,6000,25,50109121,31011200,10000,30,1,1,1,11,12,13,0,0,0,100,0,0,0,cave
9,1,0,12,3,5,50109112,31011100,6000,25,50109122,31011200,10000,30,1,1,1,11,12,13,0,30,70,0,0,0,0,cave
9,1,0,13,3,5,50109113,31011100,6000,25,50109122,31011200,10000,30,1,1,1,11,12,13,0,80,0,0,20,0,0,cave
9,1,0,14,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,0,100,0,cave
9,1,0,15,1,1,0,0,6000,0,50109131,0,10000,30,0,0,0,0,0,0,2,100,0,0,0,0,0,cave
10,1,0,1,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,100,0,0,desert
10,1,0,2,3,5,50110111,31011100,6000,25,50110121,31011200,10000,30,1,1,1,11,12,13,1,100,0,0,0,0,0,desert
10,1,0,3,3,5,50110112,31011100,6000,25,50110122,31011200,10000,30,1,1,1,11,12,13,0,100,0,0,0,0,0,desert
10,1,0,4,3,5,50110113,31011100,6000,25,50110121,31011200,10000,30,1,1,1,11,12,13,0,95,0,0,0,0,5,desert
10,1,0,5,3,5,50110111,31011100,6000,25,50110121,31011200,10000,30,1,1,1,11,12,13,0,10,10,10,0,70,0,desert
10,1,0,6,3,5,50110112,31011100,6000,25,50110122,31011200,10000,30,1,1,1,11,12,13,0,100,0,0,0,0,0,desert
10,1,0,7,3,5,50110113,31011100,6000,25,50110121,31011200,10000,30,1,1,1,11,12,13,0,20,70,0,10,0,0,desert
10,1,0,8,3,5,50110111,31011100,6000,25,50110122,31011200,10000,30,1,1,1,11,12,13,0,75,0,20,0,0,5,desert
10,1,0,9,3,5,50110112,31011100,6000,25,50110121,31011200,10000,30,1,1,1,11,12,13,0,90,0,0,0,10,0,desert
10,1,0,10,3,5,50110113,31011100,6000,25,50110122,31011200,10000,30,1,1,1,11,12,13,0,90,0,0,10,0,0,desert
10,1,0,11,3,5,50110111,31011100,6000,25,50110121,31011200,10000,30,1,1,1,11,12,13,0,90,0,0,0,10,0,desert
10,1,0,12,3,5,50110112,31011100,6000,25,50110122,31011200,10000,30,1,1,1,11,12,13,0,20,70,0,0,0,10,desert
10,1,0,13,3,5,50110113,31011100,6000,25,50110121,31011200,10000,30,1,1,1,11,12,13,0,10,0,90,0,0,0,desert
10,1,0,14,3,5,50110111,31011100,6000,25,50110122,31011200,10000,30,1,1,1,11,12,13,0,90,0,0,10,0,0,desert
10,1,0,15,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,0,100,0,desert
10,1,0,16,1,1,0,0,6000,0,50110131,0,10000,30,0,0,0,0,0,0,2,100,0,0,0,0,0,desert
11,1,0,1,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,100,0,0,rickety_village
11,1,0,2,3,5,50111112,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,1,100,0,0,0,0,0,rickety_village
11,1,0,3,3,5,50111113,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,85,0,0,0,0,15,rickety_village
11,1,0,4,3,5,50111114,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,80,10,0,10,0,0,rickety_village
11,1,0,5,3,5,50111111,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,75,0,15,0,10,0,rickety_village
11,1,0,6,3,5,50111112,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,90,0,0,0,0,10,rickety_village
11,1,0,7,3,5,50111113,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,20,70,0,10,0,0,rickety_village
11,1,0,8,3,5,50111114,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,80,0,0,0,20,0,rickety_village
11,1,0,9,3,5,50111111,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,30,0,70,0,0,0,rickety_village
11,1,0,10,3,5,50111112,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,75,10,0,15,0,0,rickety_village
11,1,0,11,3,5,50111113,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,90,0,0,0,0,10,rickety_village
11,1,0,12,3,5,50111114,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,80,0,0,20,0,0,rickety_village
11,1,0,13,3,5,50111111,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,30,70,0,0,0,0,rickety_village
11,1,0,14,3,5,50111112,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,1,0,0,100,0,0,0,rickety_village
11,1,0,15,3,5,50111113,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,80,0,0,10,0,10,rickety_village
11,1,0,16,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,0,100,0,rickety_village
11,1,0,17,1,1,0,0,6000,0,50111131,0,10000,30,0,0,0,0,0,0,2,100,0,0,0,0,0,rickety_village
12,1,0,1,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,100,0,0,rickety_village
12,1,0,2,3,5,50111112,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,1,100,0,0,0,0,0,rickety_village
12,1,0,3,3,5,50111113,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,85,0,0,0,0,15,rickety_village
12,1,0,4,3,5,50111114,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,80,10,0,10,0,0,rickety_village
12,1,0,5,3,5,50111111,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,75,0,15,0,10,0,rickety_village
12,1,0,6,3,5,50111112,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,90,0,0,0,0,10,rickety_village
12,1,0,7,3,5,50111113,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,20,70,0,10,0,0,rickety_village
12,1,0,8,3,5,50111114,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,80,0,0,0,20,0,rickety_village
12,1,0,9,3,5,50111111,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,30,0,70,0,0,0,rickety_village
12,1,0,10,3,5,50111112,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,75,10,0,15,0,0,rickety_village
12,1,0,11,3,5,50111113,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,90,0,0,0,0,10,rickety_village
12,1,0,12,3,5,50111114,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,80,0,0,20,0,0,rickety_village
12,1,0,13,3,5,50111111,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,30,70,0,0,0,0,rickety_village
12,1,0,14,3,5,50111112,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,1,0,0,100,0,0,0,rickety_village
12,1,0,15,3,5,50111113,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,80,0,0,10,0,10,rickety_village
12,1,0,16,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,0,100,0,rickety_village
12,1,0,17,1,1,0,0,6000,0,50111131,0,10000,30,0,0,0,0,0,0,2,100,0,0,0,0,0,rickety_village
13,1,0,1,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,100,0,0,rickety_village
13,1,0,2,3,5,50111112,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,1,100,0,0,0,0,0,rickety_village
13,1,0,3,3,5,50111113,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,85,0,0,0,0,15,rickety_village
13,1,0,4,3,5,50111114,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,80,10,0,10,0,0,rickety_village
13,1,0,5,3,5,50111111,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,75,0,15,0,10,0,rickety_village
13,1,0,6,3,5,50111112,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,90,0,0,0,0,10,rickety_village
13,1,0,7,3,5,50111113,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,20,70,0,10,0,0,rickety_village
13,1,0,8,3,5,50111114,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,80,0,0,0,20,0,rickety_village
13,1,0,9,3,5,50111111,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,30,0,70,0,0,0,rickety_village
13,1,0,10,3,5,50111112,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,75,10,0,15,0,0,rickety_village
13,1,0,11,3,5,50111113,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,90,0,0,0,0,10,rickety_village
13,1,0,12,3,5,50111114,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,80,0,0,20,0,0,rickety_village
13,1,0,13,3,5,50111111,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,30,70,0,0,0,0,rickety_village
13,1,0,14,3,5,50111112,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,1,0,0,100,0,0,0,rickety_village
13,1,0,15,3,5,50111113,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,80,0,0,10,0,10,rickety_village
13,1,0,16,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,0,100,0,rickety_village
13,1,0,17,1,1,0,0,6000,0,50111131,0,10000,30,0,0,0,0,0,0,2,100,0,0,0,0,0,rickety_village
14,1,0,1,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,100,0,0,rickety_village
14,1,0,2,3,5,50111112,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,1,100,0,0,0,0,0,rickety_village
14,1,0,3,3,5,50111113,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,85,0,0,0,0,15,rickety_village
14,1,0,4,3,5,50111114,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,80,10,0,10,0,0,rickety_village
14,1,0,5,3,5,50111111,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,75,0,15,0,10,0,rickety_village
14,1,0,6,3,5,50111112,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,90,0,0,0,0,10,rickety_village
14,1,0,7,3,5,50111113,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,20,70,0,10,0,0,rickety_village
14,1,0,8,3,5,50111114,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,80,0,0,0,20,0,rickety_village
14,1,0,9,3,5,50111111,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,30,0,70,0,0,0,rickety_village
14,1,0,10,3,5,50111112,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,75,10,0,15,0,0,rickety_village
14,1,0,11,3,5,50111113,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,90,0,0,0,0,10,rickety_village
14,1,0,12,3,5,50111114,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,80,0,0,20,0,0,rickety_village
14,1,0,13,3,5,50111111,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,30,70,0,0,0,0,rickety_village
14,1,0,14,3,5,50111112,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,1,0,0,100,0,0,0,rickety_village
14,1,0,15,3,5,50111113,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,80,0,0,10,0,10,rickety_village
14,1,0,16,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,0,100,0,rickety_village
14,1,0,17,1,1,0,0,6000,0,50111131,0,10000,30,0,0,0,0,0,0,2,100,0,0,0,0,0,rickety_village
15,1,0,1,3,5,0,31011100,6000,25,0,31011200,10000,30,1,1,1,11,12,13,1,0,0,0,100,0,0,rickety_village
15,1,0,2,3,5,50111112,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,1,100,0,0,0,0,0,rickety_village
15,1,0,3,3,5,50111113,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,85,0,0,0,0,15,rickety_village
15,1,0,4,3,5,50111114,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,80,10,0,10,0,0,rickety_village
15,1,0,5,3,5,50111111,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,75,0,15,0,10,0,rickety_village
15,1,0,6,3,5,50111112,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,90,0,0,0,0,10,rickety_village
15,1,0,7,3,5,50111113,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,20,70,0,10,0,0,rickety_village
15,1,0,8,3,5,50111114,31011100,6000,25,50111122,31011200,10000,30,1,1,1,11,12,13,0,80,0,0,0,20,0,rickety_village
15,1,0,9,3,5,50111111,31011100,6000,25,50111121,31011200,10000,30,1,1,1,11,12,13,0,30,0,70,0,0,0,rickety_village
